поставщик;артикул;наименование;штук;документ;категория;код МС;внешний код (мусор);вариантов;вариант 1 код;вариант 1 наименование;вариант 1 вердикт;вариант 2 код;вариант 2 наименование;вариант 3 код;вариант 3 наименование
bulat;GFHPDJ5743010;Струйный картридж БУЛАТ C8767HE для HP DeskJet 5743, OfficeJet 6313 130 (Чёрный, 860 стр.);100.0;bulat_2026-08-18_p13;;;Zk1YW0HAhXqBvGGuLkM4O3;1;0196;Картридж струйный Cactus CS-C8767 №130 черный (29мл) для HP DJ 5740/5743/5745/5748/5793/5940/5943/6540/6540d/6540dt/6543/6543d/6620/6623/6840/6843/6940/6940dt/6943/6980series/6980dt/6983/6985/9800series/9860/DJ 6310/6310xi/6313/6315/6318 с чипом;из каталога ТК: цвет, ресурс/объём, бренд;;;;;
bulat;GFHPDJT920070;Струйный картридж БУЛАТ 727 (B3P19A) для HP DesignJet T920, T1500, T2500 (Голуболй, 130 мл, 130 стр.);50.0;bulat_2026-08-18_p16;;;MSEnHyL2hesKTiV-VBOiU0;2;2861;Картридж для (727XL) HP DesignJet T1500/T2500/T920 (B3P19A) Cyan MyInk;"не указано в каталоге: ресурс/объём; из каталога ТК: цвет, чип, бренд";4335;Картридж струйный Cactus CS-F9J76A 727 XXL голубой (300мл) для HP DJ T920/T930/T1500/T1530/T2500/T2530 с чипом;;;
bulat;GFHPDJT920080;Струйный картридж БУЛАТ 727 (B3P20A) для HP DesignJet T920, T1500, T2500 (Пурпурный, 130 мл, 130 стр.);50.0;bulat_2026-08-18_p16;;;Tp93YS27iOpfWEX1xP-Ya2;2;2862;Картридж для (727XL) HP DesignJet T1500/T2500/T920 (B3P20A) Magenta MyInk;"не указано в каталоге: ресурс/объём; из каталога ТК: цвет, чип, бренд";4336;Картридж струйный Cactus CS-F9J77A 727 XXL пурпурный (300мл) для HP DJ T920/T930/T1500/T1530/T2500/T2530 с чипом;;;
bulat;GFHPDJT920090;Струйный картридж БУЛАТ 727 (B3P21A) для HP DesignJet T920, T1500, T2500 (Жёлтый, 130 мл, 130 стр.);20.0;bulat_2026-08-18_p16;;;8aatQXgsgouNhNqaffFK33;2;2863;Картридж для (727XL) HP DesignJet T1500/T2500/T920 (B3P21A) Yellow MyInk;"не указано в каталоге: ресурс/объём; из каталога ТК: цвет, чип, бренд";4337;Картридж струйный Cactus CS-F9J78A 727 XXL желтый (300мл) для HP DJ T920/T930/T1500/T1530/T2500/T2530 с чипом;;;
bulat;GFHPDJT920110;Струйный картридж БУЛАТ 727 (B3P23A) Photo Black для HP DesignJet T920, T1500, T2500 (130 мл, 130 стр.);20.0;bulat_2026-08-18_p16;;;MVRS7OlngOUEiyVJkQDKm2;2;2860;Картридж для (727XL) HP DesignJet T1500/T2500/T920 (B3P23A) Photo Black  MyInk;"не указано в каталоге: ресурс/объём; из каталога ТК: цвет, чип, бренд";4338;Картридж струйный Cactus CS-F9J79A 727 XXL фото черный (300мл) для HP DJ T920/T930/T1500/T1530/T2500/T2530 с чипом;;;
bulat;GFHPDJT920120;Струйный картридж БУЛАТ 727 (B3P24A) для HP DesignJet T920, T1500, T2500 (Серый, 130 мл, 130 стр.);20.0;bulat_2026-08-18_p16;;;6AIM0r5bhOlDT6buDHSgu2;2;2864;Картридж для (727XL) HP DesignJet T1500/T2500/T920 (B3P24A) gray MyInk;"не указано в каталоге: ресурс/объём; из каталога ТК: цвет, чип, бренд";4339;Картридж струйный Cactus CS-F9J80A 727 XXL серый (300мл) для HP Designjet T920/T930/T1500/T1530/T2500/T2530 с чипом;;;
bulat;GFHPOJ6000020;Струйный картридж Булат 920XL (CD972AE) для HP OfficeJet 6000 (Голубой 700 стр.);50.0;bulat_2026-08-18_p14;;;Hs5Ckk0HiJ8GS8oQBOqt30;1;0326;Струйный картридж Sakura CD972AE (№920XL Cyan) для HP, голубой, 14,6 мл., 980 к.;"не указано в каталоге: чип; из каталога ТК: цвет, ресурс/объём, бренд";;;;;
bulat;GFHPOJ6100030;Струйный картридж БУЛАТ CN055AE для HP OfficeJet 6100 933XL (Пурпурный, 825 стр.);50.0;bulat_2026-08-18_p13;;;Rojb2lnjhzaXdgRT4sOTK3;1;0955;Картридж струйный Cactus CS-CN055 №933XL пурпурный (14мл) для HP DJ 6600 с чипом;из каталога ТК: цвет, ресурс/объём, бренд;;;;;
bulat;GFHPOJ6100040;Струйный картридж БУЛАТ CN056AE для HP OfficeJet 6100 933XL (Жёлтый, 825 стр.);50.0;bulat_2026-08-18_p13;;;j3P8D06shna0MydlPl0xl0;1;0956;Картридж струйный Cactus CS-CN056 №933XL желтый (14мл) для HP DJ 6600 с чипом;из каталога ТК: цвет, ресурс/объём, бренд;;;;;
bulat;GFHPOJX451010;Струйный картридж БУЛАТ 970XL (CN625AE) Чёрный, 9200 стр., pigment для HP OfficeJet Pro X451, X476, X551, X576;50.0;bulat_2026-08-18_p15;;;m8r8ie2Jghn9tL4jHDflV0;1;0975;IC-H625 Картридж T2 №970XL для HP Officejet Pro X451/X476/X551dw/X576dw, черный, с чипом;из каталога ТК: цвет, ресурс/объём, чип, бренд;;;;;
bulat;GFHPOJX451020;Струйный картридж БУЛАТ 971XL (CN626AM) Голубой, 6600 стр. / 83 мл, pigment для HP OfficeJet Pro X451, X476, X551, X576;50.0;bulat_2026-08-18_p15;;;U2cvagalhnZjHxadtbLz01;1;0976;IC-H626 Картридж T2 №971XL для HP Officejet Pro X451/X476/X551dw/X576dw, голубой, с чипом;из каталога ТК: цвет, ресурс/объём, чип, бренд;;;;;
bulat;GFHPOJX451030;Струйный картридж БУЛАТ 971XL (CN627AM) Пурпурный, 6600 стр. / 83 мл, pigment для HP OfficeJet Pro X451, X476, X551, X576;50.0;bulat_2026-08-18_p15;;;LSb6eUU8jyQEVpa7p7WDL1;1;0977;IC-H627 Картридж T2 №971XL для HP Officejet Pro X451/X476/X551dw/X576dw, пурпурный, с чипом;из каталога ТК: цвет, ресурс/объём, чип, бренд;;;;;
bulat;GFHPOJX451040;Струйный картридж БУЛАТ 971XL (CN628AM) Жёлтый, 6600 стр. / 83 мл, pigment для HP OfficeJet Pro X451, X476, X551, X576;50.0;bulat_2026-08-18_p15;;;vWHeOEvSicSA2vZJ6ySEt1;1;0978;IC-H628 Картридж T2 №971XL для HP Officejet Pro X451/X476/X551dw/X576dw, желтый, с чипом;из каталога ТК: цвет, ресурс/объём, чип, бренд;;;;;
bulat;GFHPPWP452010;Струйный картридж БУЛАТ L0S07AE для HP PageWide Pro 452 973X (Чёрный, 10000 стр.);100.0;bulat_2026-08-18_p13;;;gAOVdG0cg7Rg0Owti16SX0;1;2188;Струйный картридж Sakura L0S07AE (№973X Black) для HP, черный, 256 мл., 10000 к.;из каталога ТК: цвет, ресурс/объём, чип, бренд;;;;;
bulat;GFHPPWP452020;Струйный картридж БУЛАТ F6T81AE для HP PageWide Pro 452 973X (Голубой, 7000 стр.);50.0;bulat_2026-08-18_p13;;;yV3tR2FIhNcJmWI7aawRM0;1;2189;Blossom BS-F6T81AE (973XL) Струйный картридж для HP PageWide Pro 452dw/Pro 477dw, cyan XL;из каталога ТК: цвет, ресурс/объём, чип, бренд;;;;;
bulat;GFHPPWP452030;Струйный картридж БУЛАТ F6T82AE для HP PageWide Pro 452 973X (Пурпурный, 7000 стр.);50.0;bulat_2026-08-18_p13;;;CDBfdndshDyjDz9EGZkve3;1;2190;Картридж SP 973X M (F6T82AE) для HP, пурпурный;из каталога ТК: цвет, ресурс/объём, чип, бренд;;;;;
bulat;GFHPPWP452040;Струйный картридж БУЛАТ F6T83AE для HP PageWide Pro 452 973X (Жёлтый, 7000 стр.);50.0;bulat_2026-08-18_p13;;;iEtzd4w7iXZceWf9Hx4x71;1;2191;Картридж SP 973X Y (F6T83AE) для HP, желтый;из каталога ТК: цвет, ресурс/объём, чип, бренд;;;;;
colortek;139570;Картридж Colortek Oki 46471108 (C823) Black;25.0;colortek_2026-08-18_p7;Картриджи/Картриджи Oki;3965ct;Hke5PZDahg3iIIJd-HMuq3;5;3965;Тонер-картридж OKI 46471108 для C823/833/843N/DN, Bk, 7K, Blossom;"не указано в каталоге: ресурс/объём; из каталога ТК: цвет, ресурс/объём, бренд";7006;Комплект фотобарабанов 46438001-46438004 + картриджей 46471105-46471108 OKI;3969;Набор совместимых картриджей 46471105-46471108;
colortek;1568-1;Картридж струйный Colortek Canon BC-20 bk;25.0;colortek_2026-08-18_p10;Картриджи/Картриджи Canon/струйные canon;;-k5dtyQggpP50sZRShzAH1;2;0128;Струйный картридж BCI-21 & BCI-24 с чернилами на водной основе Black 9,2 мл ProfiLine;"не указано в каталоге: ресурс/объём; из каталога ТК: цвет, ресурс/объём, бренд";0129;"Струйный картридж PL-BCI-21 &amp;  BCI-24 для принтеров Canon BJ-S100/BJC-2000/2100/4000/4100/4200/4300/4400/4550/4650/5100/5500/FAX-B180C/B210C/B215C/B230C/MultiPASS-C20/C30/C50/C70/C75/C80/C555 с чернилами на водной основе Black 16,5 мл";;;
colortek;176606;Картридж Colortek Pantum TL-425H 3k;6.0;colortek_2026-08-18_p7;Картриджи/Картриджи Pantum;;OSyBh2vXiMj70K2my0bdn2;1;5939;Тонер-картридж GP-TL-425H для принтеров Pantum M7105DN/M7105DW/P3305DN/P3305DW 3000 копий GalaPrint;"не указано в каталоге: цвет; из каталога ТК: цвет, ресурс/объём, бренд";;;;;
colortek;183431;Картридж Colortek Avision DR-1070U (015-0275-22);100.0;colortek_2026-08-18_p1;Картриджи/Картриджи Avision;5575ct;ABpqmteXiEORU4YsT5ty00;2;5575;Драм-картридж OEM DR-1070U для Avision AP30A, AM30A (15000 стр.);"не указано в каталоге: цвет, ресурс/объём; из каталога ТК: цвет, ресурс/объём, бренд";5576;Картридж для Avision DR1070U AP30A/AM30A/AP406 35K White Box (Совместимый);;;
easy_print;DK-3100;Блок фотобарабана Kyocera DK-3100 302MS93025 ч/б:300000стр. для для FS-2100D/FS-2100DN / M3040dn/M3540dn Kyocera;46.0;easy_print_2026-08-18_p8;Оригинальные картриджи/Картриджи лазерные Kyocera;;Gmt0n6uYh7FZxxv56tC162;8;5100;DK3100  Фотобарабан Sakura для принтера Kyocera FS-2100D, FS-2100DN, ECOSYS M3040dn, ECOSYS M3540dn , черный, 300000 к.;"не указано в каталоге: цвет, чип; из каталога ТК: цвет, ресурс/объём, бренд";3742;Драм-картридж Smart Graphics DK-3170 для Kyocera ECOSYS P3045, ECOSYS M3145dn, DK-3170 (Чёрный, 300000 стр.), совместимый;5325;Блок фотобарабана Cactus CS-DK6115 DK-6115/302P193011 черный ч/б:300000стр. для Ecosys M4125idn/M4132idn Kyocera;
easy_print;DK-3130;Блок фотобарабана Kyocera 302LV93045 DK-3130 ч/б:500000стр. для FS-4100DN/4200DN/4300DN Kyocera;30.0;easy_print_2026-08-18_p8;Оригинальные картриджи/Картриджи лазерные Kyocera;;v4sQPasNg8em-jmxWHOk-3;6;3956;Блок фотобарабана Cactus CS-DK3130 DK-3130( 302LV93045) черный ч/б:500000стр. для FS 4100/4200/4300 Kyocera;"не указано в каталоге: цвет, чип; из каталога ТК: цвет, ресурс/объём, бренд";6327;Блок фотобарабана Cactus CS-DK7310 DK-7310/302Y493040/302Y493041 черный ч/б:500000стр. для Ecosys P4140dn Kyocera;3722;Блок фотобарабана Kyocera DK-3190 302T693031/302T693030 черный ч/б:500000стр. для PЗ050DN/P3055DN/P3060DN Kyocera;
easy_print;LH-W2030X_NC;W2030X Картридж EasyPrint LH-W2030X_NC для HP CLJ Pro M454/455/M479/480/Canon LBP663/664/MF742/744/746 (7600 стр.) черный, БЕЗ ЧИПА;27.0;easy_print_2026-08-18_p2;Картриджи/Картриджи HP;3224ep;3224ep;3;3224;Картридж HP W2030X/055HBk (W/CH) для HP Color LJ M454/M479/Canon LBP663/664 black 7600 стр,  Blossom;из каталога ТК: цвет, ресурс/объём, чип, бренд;3474;055H Картридж EasyPrint LC-055H BK_NC для Canon i-SENSYS LBP663/664/MF742/744/HP CLJ Pro M454/455/479/480 (7600 стр.) черный, БЕЗ ЧИПА;3219;Картридж HP W2030A/055Bk (W/CH) для  HP Color LJ M454/M479/Canon LBP663/664 black 2400 стр,  Blossom;
easy_print;ML-D2850B;К-ж ML-D2850B Samsung  к ML-2850D/2851ND увеличенный оригинал;80.0;easy_print_2026-08-18_p6;Оригинальные картриджи/Картриджи лазерные Samsung;;vnRH7BnTg5XZuNDxR2a6P3;1;0278;ML-D2850B Картридж EasyPrint LS-2850 для Samsung ML-2850D/2851ND (5000 стр.) с чипом;"не указано в каталоге: цвет, ресурс/объём; из каталога ТК: цвет, ресурс/объём, бренд";;;;;
easy_print;ML-D3470B;К-ж ML-D3470B Samsung  к ML-3470D увеличенный, оригинал;43.0;easy_print_2026-08-18_p6;Оригинальные картриджи/Картриджи лазерные Samsung;;HaqSjblZiPZ6DJUZc7msn3;1;0709;Картридж Sakura MLD3470B для Samsung ML-3470/ML-3470D/ML-3470ND/ML-3471/ML-3471ND, черный, 10000 к.;"не указано в каталоге: цвет, ресурс/объём, чип; из каталога ТК: цвет, ресурс/объём, бренд";;;;;
easy_print;TK-160;Тонер к-ж Kyocera TK-160 к FS-1120D/DN, P2035d, 2500 стр (о);40.0;easy_print_2026-08-18_p5;Оригинальные картриджи/Картриджи лазерные Kyocera;;TeUcr9udghvlB0ZIFfZJ93;3;0239;Тонер-картридж EasyPrint LK-160 для Kyocera FS-1120D/1120DN/ECOSYS P2035d/P2035dn (2500 стр.) с чипом;"не указано в каталоге: цвет; из каталога ТК: цвет, ресурс/объём, бренд";1949;Драм-картридж Kyocera DK-110/130/150/170 для FS720/1100/1300/1120//1320/1350/ECOSYS P2035d, Blossom;1945;"Блок фотобарабана G&G GG-DK150 DK-150/DK-170/DK-130 черный ч/б:100000стр. для FS-1100/FS-1300D/FS-1120D/FS-1350DN/FS-1120DN/FS-1350N/FS-1120MFP/FS-1120DN/FS-1028MFP/FS-1128MFP/FS-1035MFP/FS-1135MFP/FS-1320D/FS-1370DN;ECOSYS M2035dn/M2535dn/P2135d/P21";
easy_print;TK-170;Тонер К-ж Kyocera TK-170 к FS-1320D, 7200 стр (о);52.0;easy_print_2026-08-18_p5;Оригинальные картриджи/Картриджи лазерные Kyocera;;5euLPXSzjOYzIQWuyDD1o1;5;0240;Тонер-картридж EasyPrint LK-170 для Kyocera FS-1320D/1370DN/ECOSYS P2135 (7200 стр.) с чипом;"не указано в каталоге: цвет; из каталога ТК: цвет, ресурс/объём, бренд";0119;Картридж для Kyocera TK130 FS-1028/1128MFP/1300D/1350D/1320D/1370DN 7K  AQUAMARINE (Совместимый);6330;Тонер-картридж Kyocera FS-1320D TK-170XL (12.5k) БУЛАТ s-Line;
easy_print;TK-3110;Тонер К-ж Kyocera TK-3110 FS-4100DN, 15500 стр (оригинал) арт. 1T02MT0NLV;8.0;easy_print_2026-08-18_p4;Оригинальные картриджи/Картриджи лазерные Kyocera;;4ROvNNBmiUz8MG1meU6xt3;2;0864;Тонер-картридж EasyPrint LK-3110 для Kyocera FS-4100DN (15500 стр.) с чипом;"не указано в каталоге: цвет; из каталога ТК: цвет, ресурс/объём, бренд";3956;Картридж Kyocera Mita DK-3130 для  Ecosys M3550idn/M3560idn/FS4100/DN, drum, 500000 стр., Blossom;;;
easy_print;TK-3130;Тонер К-ж Kyocera TK-3130 FS-4200DN/FS-4300DN, 25000 стр (о);14.0;easy_print_2026-08-18_p4;Оригинальные картриджи/Картриджи лазерные Kyocera;;hRRKmOrQjONBZjlOySFUV0;2;0865;Картридж лазерный Cactus CS-TK3130 TK-3130 черный (25000стр.) для Kyocera FS-4200DN/FS-4300DN/M3550idn/M3560idn с чипом;"не указано в каталоге: цвет; из каталога ТК: цвет, ресурс/объём, бренд";0864;Картридж лазерный Cactus CS-TK3110 TK-3110 черный (15500стр.) для Kyocera Ecosys FS-4100DN/4200DN/4300DN;;;
kaktus_msk;CS-3JA29AE;Картридж струйный Cactus CS-3JA29AE 963XL желт.пигм. (25.5мл) для HP OfficeJet Pro 9010/9010e/9012/9014/9015/9016/9019 с чипом;12.0;kaktus_msk_2026-08-18_p10;Оригинальные картриджи/Картриджи струйные HP;;rAKyunpcgKUn00259Q21k2;1;4145;Картридж струйный G&G GG-3JA29AE 963XL желтый (25.8мл) для HP OfficeJet Pro 9010/9010e/9012/9012e/9014/9014e/9015/9015e/9016/9019/9019e/9020/9022/9022e/9025/9025e AIO;"не указано в каталоге: ресурс/объём; из каталога ТК: цвет, ресурс/объём, чип, бренд";;;;;
kaktus_msk;CS-3JA30AE;Картридж струйный Cactus CS-3JA30AE 963XL черный пигментный (58мл) для HP OfficeJet Pro 9010/9010e/9012/9014/9015/9016/9019 с чипом;19.0;kaktus_msk_2026-08-18_p10;Оригинальные картриджи/Картриджи струйные HP;;y5GkOT4Gjwf-ogdE2jxLG2;2;4146;Картридж струйный G&G GG-3JA30AE 963XL черный (58мл) для HP OfficeJet Pro 9010/9010e/9012/9012e/9014/9014e/9015/9015e/9016/9019/9019e/9020/9022/9022e/9025/9025e AIO;"не указано в каталоге: ресурс/объём; из каталога ТК: цвет, ресурс/объём, чип, бренд";4147;IC-H963XL_MP Комплект картриджей T2 для HP 963XL: черный, голубой, пурпурный, желтый;;;
kaktus_msk;CS-C067BK;Картридж лазерный Cactus CS-C067BK 067BK черный (1350стр.) для Canon i-SENSYS LBP631Cw/LBP633Cdw/MF651Cw/MF655Cdw/MF657Cdw;500.0;kaktus_msk_2026-08-18_p7;Картриджи/Картриджи Canon;;CbyZS3JwjCIrV5Eyxutmf2;5;6983;Картридж PL-067BK для принтеров Canon i-SENSYS LBP631Cw/LBP633Cdw/MF651Cw/MF655Cdw/MF657Cdw Black 1350 копий ProfiLine;из каталога ТК: цвет, ресурс/объём, чип, бренд;5546;Картридж Sakura 067BK (5102C002 ) для Canon i-SENSYS LBP631/LBP633/MF651/MF655/MF657, черный, 1400 к.;6265;Набор картриджей C067 Canon с чипом без счетчика;
kaktus_msk;CS-C067C;Картридж лазерный Cactus CS-C067C 067C голубой (1250стр.) для Canon i-SENSYS LBP631Cw/LBP633Cdw/MF651Cw/MF655Cdw/MF657Cdw;451.0;kaktus_msk_2026-08-18_p7;Картриджи/Картриджи Canon;;NuEXKQHOiXSYc9iI71VYW1;4;6984;Картридж PL-067C для принтеров Canon i-SENSYS LBP631Cw/LBP633Cdw/MF651Cw/MF655Cdw/MF657Cdw Cyan 1250 копий ProfiLine;из каталога ТК: цвет, ресурс/объём, чип, бренд;5547;Картридж Sakura 067C (5101C002) для Canon i-SENSYS LBP631/LBP633/MF651/MF655/MF657, голубой, 1300 к.;5419;Картридж лазерный Cactus CS-C067HC 067HC голубой (2350стр.) для Canon i-SENSYS LBP631Cw/LBP633Cdw/MF651Cw/MF655Cdw/MF657Cdw;
kaktus_msk;CS-C067M;Картридж лазерный Cactus CS-C067M 067M пурпурный (1250стр.) для Canon i-SENSYS LBP631Cw/LBP633Cdw/MF651Cw/MF655Cdw/MF657Cdw;461.0;kaktus_msk_2026-08-18_p7;Картриджи/Картриджи Canon;;5dAWvvf2g-ZmV53Bh4SOV1;4;6985;Картридж PL-067M для принтеров Canon i-SENSYS LBP631Cw/LBP633Cdw/MF651Cw/MF655Cdw/MF657Cdw Magenta 1250 копий ProfiLine;из каталога ТК: цвет, ресурс/объём, чип, бренд;5548;Тонер-картридж Canon LBP-631 / MF651 067 Magenta (1.25k) (с чипом без счетчика) 7Q;5420;Картридж лазерный Cactus CS-C067HM 067HM пурпурный (2350стр.) для Canon i-SENSYS LBP631Cw/LBP633Cdw/MF651Cw/MF655Cdw/MF657Cdw;
kaktus_msk;CS-C067Y;Картридж лазерный Cactus CS-C067Y 067Y желтый (1250стр.) для Canon i-SENSYS LBP631Cw/LBP633Cdw/MF651Cw/MF655Cdw/MF657Cdw;425.0;kaktus_msk_2026-08-18_p7;Картриджи/Картриджи Canon;;4giBSy1qgfBV44wF6iIUC2;4;6986;Картридж PL-067Y для принтеров Canon i-SENSYS LBP631Cw/LBP633Cdw/MF651Cw/MF655Cdw/MF657Cdw Yellow 1250 копий ProfiLine;из каталога ТК: цвет, ресурс/объём, чип, бренд;5549;Картридж Sakura 067Y (5099C002) для Canon i-SENSYS LBP631/LBP633/MF651/MF655/MF657, желтый, 1300к.;5421;Картридж лазерный Cactus CS-C067HY 067HY желтый (2350стр.) для Canon i-SENSYS LBP631Cw/LBP633Cdw/MF651Cw/MF655Cdw/MF657Cdw;
kaktus_msk;CS-C9351;Картридж струйный Cactus CS-C9351 №21 черный (17мл) для HP DJ 3920/3940/D1360/D1460/D1470/D1560/D2330/D2360/D2430/D2460/F370/F375/F380/F2180/F2187/F2224/F2280/F2290/F4140/F4172/F4180/F4190 с чипом;148.0;kaktus_msk_2026-08-18_p11;Картриджи/Картриджи HP/струйные hp;;yUr7XLt0jJwvJZJNUBY7s0;3;0200;Картридж струйный Cactus CS-C9351C №21XL черный (20мл) для HP DJ 3920/3940/D1360/D1460/D1470/D1560/D2330/D2360 с чипом;"не указано в каталоге: ресурс/объём; из каталога ТК: цвет, ресурс/объём, бренд";4385;Картридж струйный G&G GG-C9352A № 22 многоцветный (11.4мл) для HP DJ 3920/3940/D1360/D1460/D1470/D1560/D2330/D2360/D2430/D2460/F370/F375/F380/F2180/F2187/F2224/F2280/F2290/F4140/F4172/F4180/F4190;0201;Картридж EasyPrint IH-9352 №22XL для HP Deskjet 3920/3940/D1360/D1460/D1470/D1560/D2330/D2360/D2430/D2460/F2180/F2187/F2280/F2290/F370/F375/F380/F390/F4140/F4172/F4180/F4190/HP Officejet 4315/4355/5605/5607/5610/5615/J3680/J5520/HP PSC 1402/1410/1415;
kaktus_msk;CS-C9352;Картридж струйный Cactus CS-C9352 №22 многоцветный (11.4мл) для HP DJ 3920/3940/D1360/D1460/D1470/D1560/D2330/D2360/D2430/D2460/F370/F375/F380/F2180/F2187/F2224/F2280/F2290/F4140/F4172/F4180/F4190 с чипом;59.0;kaktus_msk_2026-08-18_p11;Картриджи/Картриджи HP/струйные hp;;Zwn4WQdIggfNFCZcz3QLO2;3;0201;Картридж струйный Cactus CS-C9352C №22XL многоцветный (18мл) для HP DJ 3920/3940/D1360/D1460/D1470/D1560/D2330/D2360 с чипом;"не указано в каталоге: цвет, ресурс/объём; из каталога ТК: ресурс/объём, бренд";4385;Картридж струйный G&G GG-C9352A № 22 многоцветный (11.4мл) для HP DJ 3920/3940/D1360/D1460/D1470/D1560/D2330/D2360/D2430/D2460/F370/F375/F380/F2180/F2187/F2224/F2280/F2290/F4140/F4172/F4180/F4190;0200;Картридж струйный G&G GG-C9351A № 21 черный (17мл) для HP DJ 3920/3940/D1360/D1460/D1470/D1560/D2330/D2360/D2430/D2460/F370/F375/F380/F2180/F2187/F2224/F2280/F2290/F4140/F4172/F4180/F4190;
kaktus_msk;CS-CE278AD;Картридж лазерный Cactus CS-CE278AD черный двойная упак. (2100стр.) для HP LJ P1566/P1606w;158.0;kaktus_msk_2026-08-18_p13;Картриджи/Картриджи HP;;Y3IqoE5fj28bff2rCrW8o0;4;0088;Картридж лазерный Cactus CS-CE278U-10 черный (2100стр.) для HP LJ P1566/P1606w;из каталога ТК: цвет, ресурс/объём, чип, бренд;1157;Картридж лазерный Cactus CS-CE278X-MPS CF278X черный (3000стр.) для HP LJ P1566/P1606w;5355;TC-C728 Картридж T2 для Canon i-SENSYS MF4410/HP LaserJet Pro P1566/P1606dn (2100 стр.) с чипом;
kaktus_msk;CS-CE285AD;Картридж лазерный Cactus CS-CE285AD черный двойная упак. (1600стр.) для HP LJ P1102/P1102W/M1130/M1132;500.0;kaktus_msk_2026-08-18_p13;Картриджи/Картриджи HP;;lXXeyIgdguIybCYxehlUo3;6;0087;Картридж лазерный Cactus CS-CE285AS CE285A черный (1600стр.) для HP LJ P1102/P1102W/M1130/M1132;из каталога ТК: цвет, ресурс/объём, чип, бренд;0088;Картридж PL-CE278A/CE285A/CB435A/CB436A/712/725/726/728 (№78A №85A №35A №36A) для принтеров HP LaserJet Pro M1536/M1536dnf/P1566/P1606/P1606dn/P1101/P1102/P1102w/P1103/P1104/P1106/P1108/P1109/M1132/M1132s/M1136/M1137/M1212/M1212nf/M1212nfw/M1213/M121;5353;Картридж PL-CB435A/CB436A/CE285A/712/713/725 (№35A №36A №85A) для принтеров HP LaserJet P1001/P1002/P1003/P1004/P1005/P1006/P1007/P1008/P1009/M1120/M1120n/M1522/M1522n/M1522nf/M1505/M1505n/LaserJet Pro P1101/P1102/P1102w/P1103/P1104/P1106/P1108/P1109;
kaktus_msk;CS-CF283AD;Картридж лазерный Cactus CS-CF283AD черный двойная упак. (1500стр.) для HP LJ Pro M125nw/M127fw;500.0;kaktus_msk_2026-08-18_p14;Картриджи/Картриджи HP;;855DbJBMjHGO3NQjX8noI1;2;0825;283A Картридж EasyPrint LH-83A для HP LJ Pro M125nw/M127fw/M201/M225 (1500 стр.) черный, с чипом;из каталога ТК: цвет, ресурс/объём, бренд;1276;"Картридж лазерный G&G GG-CF283X UNIVERSAL черный (2200стр.) для HP M125/125FM/125A/M127;Canon MF229dw/MF226dn/MF216n;HP M127FW/FN/M201/M225MFP/MFP M225DN/M225DW/M201DW; Canon Image Class MF224dw/MF222dw/MF217w/MF211/MF212w/MF227dw с чипом";;;
kaktus_msk;CS-CF283XD;Картридж лазерный Cactus CS-CF283XD черный двойная упак. (2200стр.) для HP LJ Pro M225dn/M201/M202;12.0;kaktus_msk_2026-08-18_p14;Картриджи/Картриджи HP;;HMsGu7WOjZoTC9Ry2fwk50;6;1276;Картридж лазерный Cactus CS-CF283X CF283X черный (2200стр.) для HP LJ Pro M225dn/M201/M202;"не указано в каталоге: чип; из каталога ТК: цвет, ресурс/объём, бренд";1168;737 Картридж EasyPrint LC-737 U для Canon i-SENSYS MF211/212/226/229/HP M201/M225 (2400 стр.) с чипом;0825;283A Картридж EasyPrint LH-83A для HP LJ Pro M125nw/M127fw/M201/M225 (1500 стр.) черный, с чипом;
kaktus_msk;CS-CLI521C/M/Y;Картридж струйный Cactus CS-CLI521C/M/Y голубой/пурпурный/желтый набор (25.2мл) для Canon Pixma iP3600/iP4600/iP4700/MP540/MP550/MP560/MP620/MP630/MP640/MP980/MP990/MX860/MX870 с чипом;39.0;kaktus_msk_2026-08-18_p6;Картриджи/Картриджи Canon/струйные canon;;eWNgYL9ajCxr9jEwJ1pZC1;2;0132;Картридж струйный Cactus CS-CLI521C голубой (9мл) для Canon MP540/MP550/MP620/MP630/MP640/MP660 с чипом;"не указано в каталоге: ресурс/объём; из каталога ТК: цвет, ресурс/объём, чип, бренд";5666;Заправочный набор Canon SK-C-CLI-521 (C/M/Y);;;
